נחל	תאריך שטיפה	מקור	שם הגב	מצב הגב	תאריך עדכון גבים	מקור גבים	עוד קישורים	הערות	Latitude	Longitude
צפון מדבר יהודה										
אוג	13/01/2026	https://www.facebook.com/share/p/1DSJRxyddE/		מלא, הרבה לכלוך מהכפרים השכנים	06/02/2026	מראה עיניים				
קומראן	02/01/2026	מראה עיניים	גב קומראן	מלא 	06/01/2026	מראה עיניים				
דוד	14/11/2025		גב חלון	מלא סחף	21/11/2025	https://t.me/hashamba/14403			31.4715366	35.3845129
דרגה	19/03/2026	מראה עיניים		מלאים, צלולים ונקיים	19/03/2026					
חצצון	13/01/2026	https://www.facebook.com/reel/1193772189488073/	גב חצצון						31.561408	35.38287
ישי	11/12/2025	https://www.facebook.com/share/p/1Bq6ve1gN1/								
מזין	15/12/2025	טלגרם							31.682737	35.434801
סלוודורה	11/12/2025	https://www.facebook.com/share/v/17eEFRrEVx/								
ערוגות	02/01/2026	מראה עיניים	מחרס דלל						31.467956	35.343034
פרת	11/12/2025	מראה עיניים						הייתי בחניון הצינורות בשעה 16:30 בתאריך 11.12.2025. הנחל לא זרם חזק בכלל		
קדם	02/01/2026	https://www.facebook.com/share/p/1Bq6ve1gN1/								
קדרון (מזוהם)	11/12/2025									
										
קנה,	11/12/2025	https://www.facebook.com/share/v/17inxX9VKA/								
תמרים	11/12/2025	https://www.facebook.com/groups/myisrael100/permalink/26301449129443679/?mibextid=Nif5oz								
תקוע	29/12/2025	מראה עיניים	גבי נחל תקוע							
										
דרום מדבר יהודה										
אשלים	19/03/2026	14/11/2025	גבי אשלים	מלאים	17/11/2025	https://www.facebook.com/groups/221610213468649/permalink/1147522947544033/?mibextid=rS40aB7S9Ucbxw6v			31.0665641	35.3253547
חבר	11/12/2025	https://www.facebook.com/share/p/1aaXyUdVF8/	גבי חבר						31.433278	35.332049
חולד		 הו הבטןה ט.םכ**								
עשהאל	11/12/2025	מצלמת שביל - מחקר אקדמי								
משמר	26/03/2026	מראה עיניים		מלא	28/03/2026	https://m.facebook.com/story.php?story_fbid=27299510546304194&id=175997992415483			31.381188	35.347384
מפלט	11/12/2025	מצלמת שביל - מחקר אקדמי								
הרדוף	11/12/2025		גבי הרדוף	מלא	08/12/2026	מראה עיניים			31.3682919	35.3009453
שפן	11/12/2025									
צאלים	25/03/2026	https://www.facebook.com/share/p/17jgXk9boG/	בריכת צפירה	מלא, צריך לעבור גב	01/01/2026	מראה עיניים			31.3374989	35.277454
	25/03/2026	https://www.facebook.com/share/p/17jgXk9boG/	בריכת נעמה	מלאה לגמרי ועמוקה	01/01/2026	מראה עיניים			31.345018	35.29631
	25/03/2026	https://www.facebook.com/share/p/17jgXk9boG/	גבי צאלים עליון	מלאים מים בכל הנחל	01/01/2026	מראה עיניים				
ענבה	11/12/2025									
מנחם	20/03/2026			גבים מלאים מהמפגש עם רחף ומעלה	21/03/2026	מראה עיניים				
רחף	26/3/2026	עדכון ממישהו שהיה שם	גב רחף	מלאים במים	26/3/2026	מלאים וקרים. 	https://photos.app.goo.gl/37oKJLAr8AVPmhJD6		31.287223	35.361118
יעלים	28/12/2025	מראה עיניים								
זוהר	15/12/2025	https://www.facebook.com/share/v/17oKA6trMu/	גב זוהר	מלא		https://www.facebook.com/groups/myisrael100/posts/26078080081780586/	https://www.facebook.com/share/p/1ThbgQs9QB/		31.151249	35.345829
חלמיש	15/12/2025	https://www.facebook.com/share/v/17oKA6trMu/								
חמר	26/03/2026	מראה עיניים		גבים מלאים	15/11/2025	נחל חימר 15.11 .				
עמיעז	15/11/2025	מראה עיניים								
פרס	26/03/2026	וואטסאפ	גבי פרס	מלא, פרס עליון ותחתון	29/03/2026	מראה עיניים			31.009474	35.288609
צפית	06/12/2025	מראה עיניים	עין צפית	מלא	26/12/2025	עיניים			31.0170689	35.2253075
הר הנגב הצפוני										
רכס חצרה										
מזר	15/12/2025	מראה עיניים 	גב מזר	ריק	20/12/2025	מראה עיניים 		הנחל שטף, גבים לא התמלאו	30.975743	35.245893
חצרה	19/03/2026	מראה עיניים	גב חצרה	מלא					30.933475	35.242565
גוב	25/03/2026	מראה עיניים		הגבים התחתונים של גוב יבשים לחלוטין, העליונים מלאים, הגב הענק בהתחלה עמוק וקפיץ		https://t.me/hashamba/18816			30.9085216	35.1250641
ימין	02/04/2026	מראה עיניים	גבי ימין	מלא					30.9439447	35.0731331
החלק	21/12/2025		גבי נחל החלק	שטף מלא מים 	21/01/2026	מראה עיניים			30.837496	35.019138
זרחן	18/03/2026		גב זרחן	מלא מים 	18/03/2026	מראה עיניים			30.8343105	34.958504
	20/03/2026		עין אום תינה	מלא	18/12/2025	מראה עיניים			30.817783	34.944786
רכס חתירה										
ממשית	26/3/2026	מראה עיניים	גב ממשית						30.94636	35.053147
חווה	17/12/2025		גב חווה	מלא	20/12/2025	מראה עיניים 			30.7279053	34.9036674
